0.000000 0.004396 0.000000
0.004396 0.008792 0.000000
0.008792 0.013189 0.000000
0.013189 0.017585 0.000000
0.017585 0.021981 0.000000
0.021981 0.026377 0.000000
0.026377 0.030773 0.000000
0.030773 0.035170 0.000000
0.035170 0.039566 0.000000
0.039566 0.043962 0.000000
0.043962 0.048358 0.000000
0.048358 0.052754 0.000000
0.052754 0.057151 0.000000
0.057151 0.061547 0.000000
0.061547 0.065943 0.000000
0.065943 0.070339 0.000000
0.070339 0.074735 0.000000
0.074735 0.079131 0.000000
0.079131 0.083528 0.000000
0.083528 0.087924 0.000000
